colors
AbsoluteZero
Acidgreen
Aero
Africanviolet
Airsuperiorityblue
Alabaster
Aliceblue
Alizarin
Alloyorange
Almond
Amaranth
Amaranthdeeppurple
Amaranthpink
Amaranthpurple
Amazon
Amber
AmberSAEECE
Amethyst
Androidgreen
Antiquebrass
Antiquebronze
Antiquefuchsia
Antiqueruby
Antiquewhite
Apricot
Aqua
Aquamarine
Arcticlime
Artichokegreen
Arylideyellow
Ashgray
Atomictangerine
Aureolin
Azure
AzureX11webcolor
Babyblue
Babyblueeyes
Babypink
Babypowder
BakerMillerpink
BananaMania
BarbiePink
Barnred
Battleshipgrey
Beaublue
Beaver
Beige
Bdazzledblue
Bigdipo’ruby
Bisque
Bistre
Bistrebrown
Bitterlemon
Bitterlime
Bittersweet
Bittersweetshimmer
Black
Blackbean
Blackchocolate
Blackcoffee
Blackcoral
Blackolive
BlackShadows
Blanchedalmond
Blastoffbronze
BleudeFrance
Blizzardblue
Blond
Bloodred
Blue
BlueCrayola
BlueMunsell
BlueNCS
BluePantone
Bluepigment
BlueRYB
Bluebell
Bluegray
Bluegreen
Bluegreencolorwheel
Bluejeans
Bluesapphire
Blueviolet
BluevioletCrayola
Bluevioletcolorwheel
Blueyonder
Bluetiful
Blush
Bole
Bone
Bottlegreen
Brandy
Brickred
Brightgreen
Brightlilac
Brightmaroon
Brightnavyblue
BrightyellowCrayola
Brilliantrose
Brinkpink
Britishracinggreen
Bronze
Brown
Brownsugar
Brunswickgreen
Budgreen
Buff
Burgundy
Burlywood
Burnishedbrown
Burntorange
Burntsienna
Burntumber
Byzantine
Byzantium
Cadet
Cadetblue
CadetblueCrayola
Cadetgrey
Cadmiumgreen
Cadmiumorange
Cadmiumred
Cadmiumyellow
Caféaulait
Cafénoir
Cambridgeblue
Camel
Cameopink
Canary
Canaryyellow
Candyapplered
Candypink
Capri
Caputmortuum
Cardinal
Caribbeangreen
Carmine
CarmineM&P
Carnationpink
Carnelian
Carolinablue
Carrotorange
Castletongreen
Catawba
CedarChest
Celadon
Celadonblue
Celadongreen
Celeste
Celticblue
Cerise
Cerulean
Ceruleanblue
Ceruleanfrost
CeruleanCrayola
CGblue
CGred
Champagne
Champagnepink
Charcoal
Charlestongreen
Charmpink
Chartreusetraditional
Chartreuseweb
Cherryblossompink
Chestnut
Chilired
Chinapink
Chinarose
Chinesered
Chineseviolet
Chineseyellow
Chocolatetraditional
Chocolateweb
ChocolateCosmos
Chromeyellow
Cinereous
Cinnabar
CinnamonSatin
Citrine
Citron
Claret
Cobaltblue
Cocoabrown
Coffee
ColumbiaBlue
Congopink
Coolgrey
Copper
CopperCrayola
Copperpenny
Copperred
Copperrose
Coquelicot
Coral
Coralpink
Cordovan
Corn
Cornellred
Cornflowerblue
Cornsilk
Cosmiccobalt
Cosmiclatte
Coyotebrown
Cottoncandy
Cream
Crimson
CrimsonUA
Crystal
Cultured
Cyan
Cyanprocess
Cybergrape
Cyberyellow
Cyclamen
Darkbluegray
Darkbrown
Darkbyzantium
Darkcornflowerblue
Darkcyan
Darkelectricblue
Darkgoldenrod
Darkgreen
DarkgreenX11
Darkjunglegreen
Darkkhaki
Darklava
Darkliver
Darkliverhorses
Darkmagenta
Darkmossgreen
Darkolivegreen
Darkorange
Darkorchid
Darkpastelgreen
Darkpurple
Darkred
Darksalmon
Darkseagreen
Darksienna
Darkskyblue
Darkslateblue
Darkslategray
Darkspringgreen
Darkturquoise
Darkviolet
Dartmouthgreen
Davysgrey
Deepcerise
Deepchampagne
Deepchestnut
Deepjunglegreen
Deeppink
Deepsaffron
Deepskyblue
DeepSpaceSparkle
Deeptaupe
Denim
Denimblue
Desert
Desertsand
Dimgray
Dodgerblue
Dogwoodrose
Drab
Dukeblue
Dutchwhite
Earthyellow
